Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/03  06:00:00,0.654072811015280,5.35215957514368,0.000000000000000E+000,4.78481469942545,0.000000000000000E+000,0.132722894961796,0.132722894961796,0.132722894961796,5.356771943759626E-002,1.098726765447209E-002,7.598154876300982E-002,0.365738368138405,0.542151048251361 
 01/03  07:00:00,0.844836442514744,5.64731792469778,0.000000000000000E+000,4.64887285739481,0.000000000000000E+000,0.128952091711482,0.128952091711482,0.128952091711482,0.123205777980724,2.527070783085009E-002,0.129758134509170,0.422574718422518,0.969336077174358 
 01/03  08:00:00,1.12504320804748,5.44836695265769,0.000000000000000E+000,4.33105472700168,0.000000000000000E+000,0.120136339172060,0.120136339172060,0.120136339172060,0.251768291331382,5.164014801928536E-002,0.207406094963531,0.449017298501221,1.08638174273823 
 01/03  09:00:00,1.05414667506171,4.69591589088512,0.000000000000000E+000,3.61467553536498,0.000000000000000E+000,0.100265157908587,0.100265157908587,0.100265157908587,0.241054754093649,4.944269694347590E-002,0.268690864190452,0.379618189865542,1.05509041881145 
 01/03  10:00:00,0.892456520854593,3.71514834202441,0.000000000000000E+000,2.73215489679684,0.000000000000000E+000,7.578548599394362E-002,7.578548599394362E-002,7.578548599394362E-002,0.123205777980724,2.527070783085009E-002,0.330033759705594,0.323085777283484,0.960737734481923 
 01/03  11:00:00,0.887322919877262,3.54108180399223,0.000000000000000E+000,2.66895228757702,0.000000000000000E+000,7.403234950031944E-002,7.403234950031944E-002,7.403234950031944E-002,0.101778637007394,2.087580567923118E-002,0.344876895795482,0.330684219834836,0.849350388201386 
 01/03  12:00:00,0.866170972884688,2.09002575936619,0.000000000000000E+000,1.31716423901127,0.000000000000000E+000,3.653597096721811E-002,3.653597096721811E-002,3.653597096721811E-002,0.101778637007394,2.087580567923118E-002,0.361120014768658,0.330785532402186,0.750075413241531 
 01/03  13:00:00,0.832247643212993,1.32445395253111,0.000000000000000E+000,0.629402539327043,0.000000000000000E+000,1.745859189193298E-002,1.745859189193298E-002,1.745859189193298E-002,0.101778637007394,2.087580567923118E-002,0.351846255376571,0.325213341197862,0.672649145567325 
 01/03  14:00:00,0.799770932585606,0.928904923002394,0.000000000000000E+000,0.278834269131529,0.000000000000000E+000,7.734404305800384E-003,7.734404305800384E-003,7.734404305800384E-003,0.101778637007394,2.087580567923118E-002,0.317848037359318,0.336459036173864,0.626893728381259 
 01/03  15:00:00,0.799672794256499,0.874007265884337,0.000000000000000E+000,0.268253598018647,0.000000000000000E+000,7.440913880578898E-003,7.440913880578898E-003,7.440913880578898E-003,0.107135438875193,2.197453803681636E-002,0.292642405135342,0.355404486268567,0.581271688155501 
 01/03  16:00:00,0.864089866788043,0.959280346481130,0.000000000000000E+000,0.346201909895520,0.000000000000000E+000,9.603071928397563E-003,9.603071928397563E-003,9.603071928397563E-003,0.133919315218456,2.746817254602046E-002,0.302863858133087,0.375160436902082,0.587235571458234 
 01/03  17:00:00,1.09898758721132,1.22499210224845,0.000000000000000E+000,0.551999601708139,0.000000000000000E+000,1.531156162959870E-002,1.531156162959870E-002,1.531156162959870E-002,0.224984414988118,4.614652714944218E-002,0.353721026385214,0.443749044998952,0.642424920400447 
 01/03  18:00:00,1.54115601767352,2.18214869133951,0.000000000000000E+000,1.38427941204609,0.000000000000000E+000,3.839763554998942E-002,3.839763554998942E-002,3.839763554998942E-002,0.417828218263038,8.570068743209509E-002,0.445070293491817,0.539084170876581,0.760734554653187 
 01/03  19:00:00,1.79672929242979,1.60444023891052,0.000000000000000E+000,0.693973136033531,0.000000000000000E+000,1.924967410987649E-002,1.924967410987649E-002,1.924967410987649E-002,0.621385558775688,0.127452298790557,0.398284023104866,0.585282701588801,0.870150000030424 
 01/03  20:00:00,1.74789407385758,1.62623718274279,0.000000000000000E+000,0.696498268662730,0.000000000000000E+000,1.931971713844979E-002,1.931971713844979E-002,1.931971713844979E-002,0.658882972356687,0.135143384375571,0.315346148810717,0.604126839116154,0.888123735912487 
 01/03  21:00:00,1.62376600486756,1.71841352552781,0.000000000000000E+000,0.852142286530037,0.000000000000000E+000,2.363702636200549E-002,2.363702636200549E-002,2.363702636200549E-002,0.567817872587024,0.116465029772149,0.275875148663200,0.624895915423182,0.823225386417254 
 01/03  22:00:00,1.48879254901818,1.88690117130465,0.000000000000000E+000,1.10059729990373,0.000000000000000E+000,3.052876004746850E-002,3.052876004746850E-002,3.052876004746850E-002,0.476752706319499,9.778667516872755E-002,0.258342489697899,0.610306905724587,0.744262980359250 
 01/03  23:00:00,1.22230787781429,2.12216100285224,0.000000000000000E+000,1.46695840936001,0.000000000000000E+000,4.069101503600348E-002,4.069101503600348E-002,4.069101503600348E-002,0.358903730206574,7.361468605610173E-002,0.205881020852975,0.528142413602635,0.618821590006143 
 01/03  24:00:00,0.958051295275829,2.35916460261714,0.000000000000000E+000,1.84425289310718,0.000000000000000E+000,5.115654385618012E-002,5.115654385618012E-002,5.115654385618012E-002,0.246411489463584,5.054142930106109E-002,0.135920890493347,0.458945930101656,0.483297294433798 
 01/04  01:00:00,0.696720192267327,2.55486573617791,0.000000000000000E+000,2.18923303812568,0.000000000000000E+000,6.072572603510418E-002,6.072572603510418E-002,6.072572603510418E-002,0.128562513350658,2.636944018843528E-002,8.636931076758889E-002,0.379618189865542,0.339482761343545 
 01/04  02:00:00,0.595284714268601,2.75172225248466,0.000000000000000E+000,2.45384162281476,0.000000000000000E+000,6.806553323722941E-002,6.806553323722941E-002,6.806553323722941E-002,7.499482716199374E-002,1.538217117002709E-002,7.223881327716383E-002,0.349528357362187,0.273803426135086 
 01/04  03:00:00,0.558122741904147,2.92242563791225,0.000000000000000E+000,2.64260738711134,0.000000000000000E+000,7.330158526451630E-002,7.330158526451630E-002,7.330158526451630E-002,5.356771943759626E-002,1.098726765447209E-002,5.971530281942931E-002,0.345475854668135,0.256020203249109 
 01/04  04:00:00,0.548722898553012,3.01977405511617,0.000000000000000E+000,2.73516493530914,0.000000000000000E+000,7.586897951467450E-002,7.586897951467450E-002,7.586897951467450E-002,5.356771943759626E-002,1.098726765447209E-002,5.261106845099969E-002,0.340612851435269,0.261146059434847 
 01/04  05:00:00,0.549848303222057,3.19558553436347,0.000000000000000E+000,2.85959227780399,0.000000000000000E+000,7.932038947424941E-002,7.932038947424941E-002,7.932038947424941E-002,5.356771943759626E-002,1.098726765447209E-002,6.315175921409334E-002,0.327746155381645,0.313416516433346 
 01/04  06:00:00,0.599994931168494,3.40316523160856,0.000000000000000E+000,2.83524424679819,0.000000000000000E+000,7.864501511500925E-002,7.864501511500925E-002,7.864501511500925E-002,5.356771943759626E-002,1.098726765447209E-002,7.598154876300982E-002,0.365738368138405,0.542727157343501 
 01/04  07:00:00,0.790196565742208,3.67880279615422,0.000000000000000E+000,2.67904176207948,0.000000000000000E+000,7.431221493894745E-002,7.431221493894745E-002,7.431221493894745E-002,0.123205777980724,2.527070783085009E-002,0.129758134509170,0.422574718422518,0.970652043946111 
 01/04  08:00:00,1.10281157262168,4.64842765723926,0.000000000000000E+000,3.52957841797250,0.000000000000000E+000,9.790470374625757E-002,9.790470374625757E-002,9.790470374625757E-002,0.251768291331382,5.164014801928536E-002,0.207406094963531,0.449017298501221,1.08791875634898 
 01/04  09:00:00,1.03173049804160,3.88928252930578,0.000000000000000E+000,2.80654628726787,0.000000000000000E+000,7.784898088847628E-002,7.784898088847628E-002,7.784898088847628E-002,0.241054754093649,4.944269694347590E-002,0.268690864190452,0.379618189865542,1.05658630532922 
 01/04  10:00:00,0.888275897467311,3.56577541387063,0.000000000000000E+000,2.58143856227150,0.000000000000000E+000,7.160486260666092E-002,7.160486260666092E-002,7.160486260666092E-002,0.123205777980724,2.527070783085009E-002,0.330033759705594,0.323085777283484,0.962081140853469 
 01/04  11:00:00,0.900747385619432,4.02620286367671,0.000000000000000E+000,3.15291988814478,0.000000000000000E+000,8.745681524248927E-002,8.745681524248927E-002,8.745681524248927E-002,0.101778637007394,2.087580567923118E-002,0.344876895795482,0.330684219834836,0.850503847318125 
 01/04  12:00:00,0.890161360728708,2.95588472345450,0.000000000000000E+000,2.18204561787228,0.000000000000000E+000,6.052635881123775E-002,6.052635881123775E-002,6.052635881123775E-002,0.101778637007394,2.087580567923118E-002,0.361120014768658,0.330785532402186,0.751052998468824 
 01/04  13:00:00,0.863780083674017,2.46207539990784,0.000000000000000E+000,1.76618368526343,0.000000000000000E+000,4.899103235295703E-002,4.899103235295703E-002,4.899103235295703E-002,0.101778637007394,2.087580567923118E-002,0.351846255376571,0.325213341197862,0.673489447007660 
 01/04  14:00:00,0.832963416249733,2.12628579978113,0.000000000000000E+000,1.47546190291143,0.000000000000000E+000,4.092688796992724E-002,4.092688796992724E-002,4.092688796992724E-002,0.101778637007394,2.087580567923118E-002,0.317848037359318,0.336459036173864,0.627646971380092 
 01/04  15:00:00,0.837706823933331,2.24584937475845,0.000000000000000E+000,1.63942459552050,0.000000000000000E+000,4.547494355741324E-002,4.547494355741324E-002,4.547494355741324E-002,0.107135438875193,2.197453803681636E-002,0.292642405135342,0.355404486268567,0.581942799527759 
 01/04  16:00:00,0.901719054291733,2.31653486435019,0.000000000000000E+000,1.70277787628708,0.000000000000000E+000,4.723225943208592E-002,4.723225943208592E-002,4.723225943208592E-002,0.133919315218456,2.746817254602046E-002,0.302863858133087,0.375160436902082,0.587914122935739 
 01/04  17:00:00,1.12689689832960,2.23192959958443,0.000000000000000E+000,1.55816272170339,0.000000000000000E+000,4.322087274787443E-002,4.322087274787443E-002,4.322087274787443E-002,0.224984414988118,4.614652714944218E-002,0.353721026385214,0.443749044998952,0.643199297741176 
 01/04  18:00:00,1.56432014321374,3.01821396757219,0.000000000000000E+000,2.21937307404095,0.000000000000000E+000,6.156176109021419E-002,6.156176109021419E-002,6.156176109021419E-002,0.417828218263038,8.570068743209509E-002,0.445070293491817,0.539084170876581,0.761706168891017 
